Roll,positive_marks,negative_marks,total_marks
1401CE45,84,0,84/112
1401EE01,76,2,74/112
1401EE16,96,3,93/112
1401CB45,72,3,69/112
1401EE64,112,0,112/112
1401ME58,84,0,84/112
1401EE76,32,5,27/112
1401EE06,64,5,59/112
1401ME44,68,2,66/112
1401EE33,96,1,95/112
1401CB30,76,2,74/112
1401CB17,52,0,52/112
1401ME17,76,2,74/112
1401CS71,68,9,59/112
1401CB06,68,1,67/112
1401CE60,96,2,94/112
1401CE20,60,1,59/112
1401CS73,52,4,48/112
1401EE80,84,5,79/112
1401EE61,84,2,82/112
1401EE21,60,2,58/112
1401EE38,84,3,81/112
1401CE35,76,3,73/112
1401CS75,56,3,53/112
1401ME81,92,0,92/112
1401CE02,92,3,89/112
1401ME26,92,4,88/112
1401CE62,68,2,66/112
1401EE34,64,3,61/112
1401MM19,108,1,107/112
1401CE11,76,4,72/112
1401EE29,92,2,90/112
1401ME01,68,5,63/112
1401MM30,48,3,45/112
1401CS25,76,1,75/112
1401CB43,40,18,22/112
1401CS77,36,7,29/112
1401CS81,76,3,73/112
1401CB56,32,3,29/112
1401CB41,60,3,57/112
1401CB60,64,9,55/112
1401CE65,32,3,29/112
1401CB39,48,4,44/112
1401CE24,36,4,32/112
1401CE22,64,3,61/112
1401CB27,52,5,47/112
1401CS46,60,3,57/112
1401CB28,44,6,38/112
1401CE07,44,2,42/112
1401CS50,80,0,80/112
1401ME31,12,1,11/112
1401ME05,96,1,95/112
1401CS07,56,3,53/112
1401EE09,92,2,90/112
1401ME49,44,4,40/112
1401ME37,84,6,78/112
1401CS35,64,2,62/112
1401MM05,88,4,84/112
1401CS05,100,3,97/112
1401CE15,76,9,67/112
1401EE03,76,0,76/112
1401ME28,100,2,98/112
1401MM22,32,2,30/112
1901CE69,36,1,35/112
1401EE19,40,4,36/112
1401CE19,36,2,34/112
1401CE01,68,6,62/112
1401EE50,84,3,81/112
1401CB64,44,0,44/112
1401ME08,44,0,44/112
